"competência";"seção";"saldomovimentação";"cbo2002ocupação";"categoria";"graudeinstrução";"idade";"horascontratuais";"tempoemprego";"raçacor";"sexo";"tipoempregador";"tipoestabelecimento";"tipomovimentação";"tipodedeficiência";"indtrabintermitente";"indtrabparcial";"salário";"tamestabjan";"indicadoraprendiz"
"202001";"J";-1;"212405";"101";"11";42;40;4;"1";"3";"0";"1";"31";"0";"0";"0";8200;"10";"0"
"202001";"M";-1;"317110";"101";"9";37;40;45;"1";"1";"0";"1";"31";"0";"0";"0";6574,97021484375;"4";"0"
"202001";"J";-1;"212405";"101";"9";30;40;91;"3";"1";"0";"1";"90";"0";"0";"0";4167,31005859375;"3";"0"
"202001";"Q";-1;"212405";"101";"9";35;44;16;"3";"1";"0";"1";"40";"0";"0";"0";7093;"8";"0"
"202001";"J";-1;"317110";"101";"8";29;40;9;"1";"3";"0";"1";"40";"0";"0";"0";4795,4501953125;"6";"0"
"202001";"J";-1;"212405";"101";"9";32;40;14;"1";"1";"0";"1";"40";"0";"0";"0";6370;"5";"0"
"202001";"J";-1;"212405";"101";"9";36;40;4;"1";"1";"0";"1";"40";"0";"0";"0";10114,330078125;"6";"0"
"202001";"J";-1;"212405";"101";"9";27;40;61;"3";"1";"0";"1";"31";"0";"0";"0";5695,64990234375;"6";"0"
"202001";"M";-1;"212405";"101";"9";34;40;104;"6";"1";"0";"1";"40";"0";"0";"0";11440;"9";"0"
"202001";"J";-1;"212405";"101";"7";24;40;15;"1";"1";"0";"1";"40";"0";"0";"0";1704;"5";"0"
"202001";"J";-1;"212405";"101";"9";34;0;5;"1";"1";"0";"1";"40";"0";"0";"9";8000;"10";"0"
"202001";"J";-1;"212405";"101";"9";27;40;4;"6";"1";"0";"1";"40";"0";"0";"0";9500;"10";"0"
"202001";"J";-1;"317110";"101";"8";32;40;5;"1";"1";"0";"1";"40";"0";"0";"0";2800;"4";"0"
"202001";"J";-1;"212405";"101";"9";27;40;2;"1";"3";"0";"1";"40";"0";"0";"0";4359,81005859375;"7";"0"
"202001";"J";-1;"212405";"101";"9";28;40;47;"3";"1";"0";"1";"40";"0";"0";"0";5818,66015625;"8";"0"
"202001";"J";-1;"212405";"101";"80";28;40;2;"2";"1";"0";"1";"40";"0";"0";"0";11000;"8";"0"
"202001";"J";-1;"317110";"101";"9";23;40;11;"2";"1";"0";"1";"31";"0";"0";"0";3234,75;"10";"0"
"202001";"K";-1;"212405";"101";"9";29;44;41;"3";"3";"0";"1";"40";"0";"0";"0";5629,4501953125;"7";"0"
"202001";"J";-1;"212405";"101";"9";34;40;19;"1";"1";"0";"1";"40";"0";"0";"0";9114;"8";"0"
"202001";"J";-1;"212405";"101";"11";39;40;8;"5";"1";"0";"1";"40";"0";"0";"0";7000;"10";"0"
"202001";"J";-1;"212405";"101";"7";37;40;50;"6";"1";"0";"1";"31";"0";"0";"0";2271,89990234375;"6";"0"
"202001";"J";-1;"212405";"101";"9";31;40;16;"3";"3";"0";"1";"40";"0";"0";"0";7575;"10";"0"
"202001";"L";-1;"212405";"101";"8";22;44;3;"1";"1";"0";"1";"40";"0";"0";"0";1529,84997558594;"4";"0"
"202001";"J";-1;"212405";"101";"9";23;40;17;"1";"1";"0";"1";"40";"0";"0";"0";6295,7998046875;"6";"0"
"202001";"J";-1;"212405";"101";"8";27;40;33;"3";"3";"0";"1";"40";"0";"0";"0";5000,77001953125;"10";"0"
"202001";"J";-1;"212405";"101";"9";25;40;9;"3";"1";"0";"1";"40";"0";"0";"0";5500;"6";"0"
"202001";"J";-1;"212405";"101";"9";41;40;26;"6";"1";"0";"1";"31";"0";"0";"0";6419,9501953125;"8";"0"
"202001";"J";-1;"317110";"101";"9";22;40;9;"1";"1";"0";"1";"40";"0";"0";"0";4000;"10";"0"
"202001";"J";-1;"212405";"101";"9";40;40;1;"1";"1";"0";"1";"31";"0";"0";"0";12274,7998046875;"10";"0"
"202001";"M";-1;"317110";"101";"80";37;44;9;"3";"1";"0";"1";"40";"0";"0";"0";8849,4599609375;"10";"0"
"202001";"J";-1;"212405";"101";"8";39;40;16;"1";"1";"0";"1";"31";"0";"0";"0";1625;"5";"0"
"202001";"J";-1;"317110";"101";"8";28;44;2;"1";"1";"0";"1";"43";"0";"0";"0";1500;"5";"0"
"202001";"M";-1;"212405";"101";"7";23;40;20;"6";"1";"0";"1";"40";"0";"0";"0";7000;"10";"0"
"202001";"J";-1;"212405";"101";"9";34;40;37;"6";"3";"0";"1";"31";"0";"0";"0";24613,94921875;"5";"0"
"202001";"J";-1;"212405";"101";"8";42;40;14;"6";"1";"0";"1";"31";"0";"0";"0";2028,01000976562;"4";"0"
"202001";"N";-1;"317110";"106";"9";26;44;2;"1";"1";"0";"1";"43";"0";"0";"0";3250;"7";"0"
"202001";"J";-1;"212405";"101";"9";28;40;40;"3";"3";"0";"1";"40";"0";"0";"0";3669;"7";"0"
"202001";"J";-1;"212405";"101";"8";24;40;5;"1";"3";"0";"1";"31";"0";"0";"0";2015;"8";"0"
"202001";"J";-1;"212405";"101";"9";30;40;2;"1";"3";"0";"1";"43";"0";"0";"0";8000;"10";"0"
"202001";"N";-1;"317110";"101";"9";25;40;20;"6";"1";"0";"1";"40";"0";"0";"0";7911,35009765625;"7";"0"
"202001";"G";-1;"212405";"101";"7";23;44;14;"1";"1";"0";"1";"40";"0";"0";"0";1279;"3";"0"
"202001";"M";-1;"212405";"101";"9";26;40;42;"6";"3";"0";"1";"40";"0";"0";"0";3205;"10";"0"
"202001";"J";-1;"212405";"101";"9";41;40;22;"4";"1";"0";"1";"40";"0";"0";"0";9098,66015625;"10";"0"
"202001";"J";-1;"212405";"101";"9";34;40;17;"1";"3";"0";"1";"31";"0";"0";"0";3299,09008789062;"8";"0"
"202001";"N";-1;"317110";"106";"7";30;44;2;"2";"1";"0";"1";"43";"0";"0";"0";1231,15002441406;"10";"0"
"202001";"F";-1;"212405";"101";"9";34;44;70;"1";"1";"0";"1";"31";"0";"0";"0";2529,830078125;"6";"0"
"202001";"Q";-1;"212405";"101";"7";30;44;18;"1";"1";"0";"1";"40";"2";"0";"0";2880,19995117188;"6";"0"
"202001";"J";-1;"212405";"101";"9";24;40;28;"3";"1";"0";"1";"40";"0";"0";"0";2200;"4";"0"
"202001";"Q";-1;"317110";"101";"9";32;45;55;"1";"1";"0";"1";"31";"0";"0";"0";3844,6201171875;"10";"0"
"202001";"J";-1;"212405";"101";"9";55;40;7;"6";"1";"0";"1";"31";"0";"0";"0";2800;"5";"0"
"202001";"J";-1;"212405";"101";"9";33;40;24;"1";"3";"0";"1";"31";"0";"0";"0";12411,599609375;"4";"0"
"202001";"N";-1;"212405";"106";"9";29;41;5;"1";"1";"0";"1";"43";"0";"0";"0";3500;"10";"0"
"202001";"N";-1;"212405";"101";"9";32;44;7;"3";"1";"0";"1";"31";"0";"0";"0";12912;"9";"0"
